order_id,order_ts,customer_id,product_id,quantity,discount,gross_sales,net_sales,cost,profit,channel,payment_method,campaign,order_status
18,2025-04-21 04:00:00,3828,361,6,0.0,933.42,933.42,513.3,420.12,Online,Bank Transfer,Organic,completed
19,2024-06-15 22:00:00,13594,323,4,0.1,5525.56,4973.0,3927.36,1045.64,Store,Bank Transfer,Festive,completed
20,2024-05-22 19:00:00,8773,289,2,0.2,4053.64,3242.91,2008.54,1234.37,Online,Card,Festive,completed
21,2024-06-14 17:00:00,13929,28,1,0.0,254.01,254.01,173.85,80.16,Online,Card,NewYear,completed
22,2024-04-15 05:00:00,5058,202,9,0.05,3527.19,3350.83,1774.89,1575.94,Online,Card,Summer,completed
23,2024-11-18 17:00:00,2669,390,5,0.05,2374.15,2255.44,1587.25,668.19,Store,UPI,Retention,completed
24,2024-06-01 07:00:00,17789,170,9,0.0,9464.49,9464.49,5086.44,4378.05,Partner,Bank Transfer,BackToOffice,completed
25,2024-04-03 20:00:00,2260,362,1,0.05,477.51,0.0,365.24,0.0,Marketplace,Wallet,Festive,cancelled
26,2024-11-28 10:00:00,13858,361,7,0.15,1088.99,925.64,598.85,326.79,Store,UPI,Festive,completed
27,2024-06-17 09:00:00,727,436,2,0.1,256.36,230.72,156.32,74.4,Store,Bank Transfer,Summer,completed
28,2025-06-04 05:00:00,7052,144,6,0.05,12268.38,11654.96,7227.6,4427.36,Online,Bank Transfer,Organic,completed
29,2024-04-26 21:00:00,17818,410,4,0.0,8365.36,0.0,4743.8,0.0,Store,UPI,Summer,cancelled
30,2024-03-13 10:00:00,5411,32,8,0.15,14818.56,12595.78,7800.72,4795.06,Marketplace,Card,NewYear,completed
31,2024-11-21 10:00:00,10777,302,9,0.0,14789.43,14789.43,8504.55,6284.88,Partner,Bank Transfer,Retention,completed
32,2024-08-28 13:00:00,2781,147,2,0.1,1311.32,1180.19,803.68,376.51,Partner,Wallet,Festive,completed
33,2024-06-13 19:00:00,9740,88,3,0.15,5055.57,4297.23,2917.74,1379.49,Marketplace,Card,Organic,returned
34,2024-01-04 06:00:00,15347,334,4,0.0,5653.16,0.0,4141.12,0.0,Online,Bank Transfer,NewYear,cancelled
35,2025-04-10 04:00:00,11381,137,3,0.0,1960.86,1960.86,1093.98,866.88,Online,Card,Festive,completed
36,2025-02-01 14:00:00,18037,134,1,0.1,989.93,890.94,779.55,111.39,Online,UPI,BackToOffice,completed
37,2024-06-28 20:00:00,14083,332,6,0.0,10523.1,10523.1,6568.62,3954.48,Store,Card,Organic,completed
38,2024-11-04 17:00:00,9150,339,9,0.0,16936.11,16936.11,7980.66,8955.45,Marketplace,Card,Organic,completed
39,2024-04-10 19:00:00,7441,291,7,0.1,4320.05,3888.04,2265.97,1622.07,Store,Bank Transfer,BackToOffice,completed
40,2024-07-22 07:00:00,10903,256,3,0.0,810.57,810.57,491.01,319.56,Store,UPI,Festive,completed
41,2024-07-22 23:00:00,15854,320,2,0.05,241.1,229.04,187.62,41.42,Online,Card,Festive,completed
42,2024-04-12 08:00:00,10708,185,3,0.05,3528.09,3351.69,1834.86,1516.83,Online,UPI,Summer,completed
43,2025-06-25 01:00:00,12914,436,9,0.2,1153.62,922.9,703.44,219.46,Store,Card,BackToOffice,completed
44,2024-06-01 01:00:00,4453,146,1,0.0,1537.36,1537.36,1114.35,423.01,Online,Bank Transfer,Organic,completed
45,2024-06-13 22:00:00,6096,18,6,,2714.16,2307.04,1745.7,561.34,Store,Bank Transfer,Retention,completed
46,2024-07-06 19:00:00,7554,57,8,0.1,15429.68,13886.71,11282.4,2604.31,Online,Card,Retention,completed
47,2025-01-15 12:00:00,5970,374,8,0.15,9329.2,7929.82,4441.04,3488.78,Marketplace,Card,NewYear,returned
48,2025-02-02 22:00:00,3139,448,3,0.1,5046.99,4542.29,2361.75,2180.54,Store,Card,Summer,completed
49,2024-06-14 08:00:00,15145,70,6,0.1,8535.48,7681.93,6509.16,1172.77,Marketplace,Bank Transfer,Summer,completed
50,2025-01-28 22:00:00,9640,446,8,0.15,7010.72,5959.11,4201.12,1757.99,Store,Card,BackToOffice,completed
51,2025-01-11 05:00:00,3047,146,1,0.05,1537.36,1460.49,1114.35,346.14,Marketplace,Card,Organic,completed
52,2024-01-03 18:00:00,13413,342,8,0.1,17229.28,15506.35,11228.0,4278.35,Store,Wallet,Organic,completed
53,2025-02-09 07:00:00,4425,288,7,0.05,15264.62,14501.39,11928.28,2573.11,Online,UPI,Retention,completed
54,2024-05-08 23:00:00,17348,186,9,0.15,12494.52,10620.34,6121.71,4498.63,Online,Wallet,NewYear,completed
55,2024-07-10 17:00:00,1934,317,9,0.0,9480.87,9480.87,6875.73,2605.14,Partner,UPI,BackToOffice,completed
56,2024-03-27 08:00:00,8563,166,6,0.0,3008.52,3008.52,1591.26,1417.26,Online,UPI,NewYear,completed
57,2024-05-11 15:00:00,3150,215,9,0.15,5775.84,4909.46,4702.14,207.32,Online,Card,Retention,completed
58,2025-01-23 12:00:00,4331,242,7,0.05,9192.96,8733.31,4431.91,4301.4,Online,UPI,BackToOffice,completed
59,2024-12-26 03:00:00,13074,164,6,0.0,1142.46,1142.46,583.5,558.96,Store,UPI,NewYear,completed
60,2025-05-01 06:00:00,18284,149,8,0.0,4542.24,4542.24,2941.04,1601.2,Marketplace,Card,Festive,returned
61,2024-09-21 18:00:00,12595,338,4,0.15,2057.48,1748.86,1192.44,556.42,Store,Bank Transfer,NewYear,completed
62,2024-02-17 04:00:00,18534,378,3,0.0,4553.13,4553.13,2190.21,2362.92,Partner,UPI,Retention,completed
63,2024-10-31 04:00:00,18143,221,5,0.0,10320.95,10320.95,5442.0,4878.95,Store,Card,BackToOffice,completed
64,2024-12-17 05:00:00,16554,150,1,0.0,1659.98,1659.98,1142.23,517.75,Store,Wallet,Retention,completed
65,2024-10-11 12:00:00,14890,411,6,0.15,6404.94,5444.2,4811.16,633.04,Store,Card,NewYear,completed
66,2025-04-07 14:00:00,4302,385,2,0.05,1354.38,1286.66,1018.3,268.36,Marketplace,Card,NewYear,completed
67,2024-07-15 10:00:00,640,158,2,0.0,4244.64,4244.64,2486.82,1757.82,Store,Card,Festive,completed
68,2025-06-09 14:00:00,6901,273,7,0.0,6462.12,6462.12,4582.97,1879.15,Online,Card,NewYear,completed
69,2024-08-09 20:00:00,8157,423,1,0.1,990.0,891.0,625.32,265.68,Online,Bank Transfer,Retention,completed
70,2024-12-09 06:00:00,3429,88,8,0.05,13481.52,12807.44,7780.64,5026.8,Store,Card,Organic,completed
71,2024-12-20 10:00:00,7639,189,5,0.1,2733.75,2460.38,2181.1,279.28,Store,Bank Transfer,Summer,completed
72,2025-05-04 20:00:00,4117,76,8,0.0,12132.88,12132.88,8774.24,3358.64,Online,Card,Retention,completed
73,2024-10-17 15:00:00,3373,52,4,0.0,5371.08,5371.08,3722.52,1648.56,Partner,Bank Transfer,NewYear,completed
74,2024-12-30 05:00:00,14480,180,2,0.05,1420.58,1349.55,728.42,621.13,Partner,Bank Transfer,NewYear,completed
75,2024-07-08 11:00:00,4884,313,9,0.05,9136.08,8679.28,4388.04,4291.24,Online,Card,Organic,completed
76,2024-06-12 23:00:00,5085,279,5,0.0,4822.65,4822.65,3584.35,1238.3,Online,Bank Transfer,Organic,completed
77,2025-03-01 22:00:00,15838,89,2,0.1,2534.52,2281.07,1772.68,508.39,Partner,UPI,Retention,completed
78,2024-04-04 17:00:00,8751,401,1,0.1,1669.48,1502.53,1138.55,363.98,Online,Bank Transfer,BackToOffice,completed
79,2024-07-25 08:00:00,19919,447,2,0.1,2872.5,2585.25,1325.16,1260.09,Marketplace,Card,BackToOffice,returned
80,2024-07-22 07:00:00,11483,90,4,0.2,6708.92,5367.14,4739.2,627.94,Online,Card,BackToOffice,completed
81,2025-01-29 07:00:00,16073,338,2,0.15,1028.74,874.43,596.22,278.21,Marketplace,Card,Retention,completed
82,2025-05-23 10:00:00,4058,352,8,0.05,10846.24,10303.93,6563.6,3740.33,Online,Card,Summer,returned
83,2024-05-07 12:00:00,2707,147,8,0.05,5245.28,4983.02,3214.72,1768.3,Marketplace,Card,Summer,completed
84,2025-03-01 11:00:00,14290,275,8,0.0,16745.44,16745.44,8297.52,8447.92,Store,Bank Transfer,Organic,completed
85,2024-07-14 18:00:00,11988,344,9,0.05,2099.88,1994.89,1010.88,984.01,Online,Card,Summer,completed
86,2024-02-26 18:00:00,2225,23,3,0.05,4301.01,4085.96,2443.95,1642.01,Store,Card,BackToOffice,completed
87,2024-09-24 10:00:00,5903,436,2,0.0,256.36,256.36,156.32,100.04,Online,Card,Festive,completed
88,2025-03-10 11:00:00,11615,61,4,0.2,3583.68,2866.94,2780.2,86.74,Store,Wallet,BackToOffice,completed
89,2024-03-29 06:00:00,11133,275,6,0.1,12559.08,11303.17,6223.14,5080.03,Marketplace,UPI,Summer,completed
90,2024-08-27 23:00:00,5647,166,3,0.1,1504.26,1353.83,795.63,558.2,Partner,Card,Retention,completed
91,2024-01-10 12:00:00,6843,81,9,0.0,13617.63,0.0,6245.64,0.0,Marketplace,UPI,Organic,cancelled
92,2024-02-25 18:00:00,8866,226,8,0.1,1028.56,925.7,562.24,363.46,Partner,Wallet,Summer,completed
93,2025-01-20 12:00:00,6241,310,3,0.0,3697.35,0.0,2056.26,0.0,Store,Card,Summer,cancelled
94,2024-03-10 18:00:00,13320,140,2,0.0,3716.84,3716.84,1908.1,1808.74,Online,Card,Summer,completed
95,2024-01-17 16:00:00,19287,332,2,0.0,3507.7,3507.7,2189.54,1318.16,Marketplace,Wallet,Festive,completed
96,2024-06-25 04:00:00,3372,229,1,0.0,722.23,722.23,474.15,248.08,Store,UPI,Festive,completed
97,2024-01-01 22:00:00,15604,286,2,0.05,2737.0,2600.15,2151.42,448.73,Online,UPI,NewYear,completed
98,2024-02-02 00:00:00,7870,288,5,0.1,10903.3,0.0,8520.2,0.0,Store,Bank Transfer,Summer,cancelled
99,2024-04-04 08:00:00,2217,67,5,0.15,3486.05,2963.14,1992.6,970.54,Online,Card,Festive,completed
100,2024-11-25 15:00:00,10498,67,7,0.1,4880.47,4392.42,2789.64,1602.78,Store,Card,Summer,completed
101,2024-02-09 07:00:00,6953,427,6,0.15,11560.38,9826.32,7126.26,2700.06,Online,UPI,Festive,completed
102,2024-01-23 07:00:00,7100,47,4,0.15,2560.96,2176.82,1697.56,479.26,Online,UPI,NewYear,completed
103,2025-01-11 15:00:00,18992,357,9,0.05,17114.31,16258.59,9175.68,7082.91,Marketplace,Card,Festive,completed
104,2024-11-12 01:00:00,7047,261,9,0.0,375.03,375.03,216.0,159.03,Partner,Card,Festive,completed
105,2024-06-01 17:00:00,5237,285,9,0.15,5184.9,4407.16,3836.16,571.0,Store,Card,Retention,completed
106,2024-06-08 16:00:00,17705,145,2,0.05,2242.22,2130.11,1628.58,501.53,Partner,Card,Organic,completed
107,2024-05-31 00:00:00,8168,100,5,0.15,7488.1,6364.88,4877.8,1487.08,Store,Card,Festive,completed
108,2024-05-23 21:00:00,11627,86,1,0.15,311.39,0.0,190.71,0.0,Partner,Bank Transfer,Retention,cancelled
109,2024-06-10 13:00:00,18672,425,6,0.1,8380.5,7542.45,3928.32,3614.13,Marketplace,Card,Retention,completed
110,2024-02-07 22:00:00,2136,391,2,0.05,110.74,105.2,72.24,32.96,Store,Card,BackToOffice,completed
111,2024-05-17 12:00:00,9045,115,7,0.05,10169.81,9661.32,5700.38,3960.94,Store,Wallet,BackToOffice,completed
112,2025-02-05 19:00:00,8229,366,3,0.15,4728.42,4019.16,3090.84,928.32,Store,Card,Festive,completed
113,2024-04-06 03:00:00,13539,30,9,0.0,18882.18,18882.18,8808.48,10073.7,Store,Card,NewYear,completed
114,2024-12-01 14:00:00,2416,281,6,0.05,11386.2,10816.89,5720.64,5096.25,Online,UPI,Organic,completed
115,2024-07-24 06:00:00,12158,246,6,0.05,3162.9,3004.75,2455.32,549.43,Store,Card,Festive,completed
116,2025-01-17 03:00:00,9238,43,1,0.2,1746.26,1397.01,1197.54,199.47,Online,Card,Festive,completed
117,2024-04-17 06:00:00,18121,340,6,,7532.7,6026.16,4019.7,2006.46,Online,UPI,NewYear,completed
118,2024-02-16 14:00:00,2131,204,9,0.1,16381.62,14743.46,13418.28,1325.18,Online,Card,Summer,completed
119,2025-03-17 10:00:00,8751,94,7,0.0,14394.66,14394.66,9800.84,4593.82,Online,Card,BackToOffice,completed
120,2025-06-22 17:00:00,17980,199,5,0.0,10415.8,10415.8,4898.5,5517.3,Partner,Card,NewYear,completed
121,2025-02-19 18:00:00,12518,418,1,0.0,1232.64,1232.64,822.36,410.28,Marketplace,Wallet,Festive,completed
122,2024-07-12 04:00:00,3038,72,9,0.0,11828.7,11828.7,8583.93,3244.77,Online,Wallet,Retention,completed
123,2025-04-05 10:00:00,4140,370,2,0.05,1524.4,1448.18,775.0,673.18,Online,Bank Transfer,Organic,completed
124,2024-08-03 16:00:00,16124,41,3,0.0,2595.87,2595.87,1972.56,623.31,Partner,Wallet,BackToOffice,completed
125,2025-01-22 14:00:00,7877,115,9,0.05,13075.47,12421.7,7329.06,5092.64,Marketplace,Bank Transfer,BackToOffice,completed
126,2025-02-06 12:00:00,4212,61,4,0.1,3583.68,3225.31,2780.2,445.11,Store,Card,Festive,completed
127,2024-07-28 23:00:00,19213,146,1,0.05,1537.36,1460.49,1114.35,346.14,Online,Card,Organic,completed
128,2025-06-25 22:00:00,4321,378,2,0.0,3035.42,3035.42,1460.14,1575.28,Store,Bank Transfer,Retention,completed
129,2024-09-24 04:00:00,16968,245,7,0.1,5560.66,5004.59,3502.17,1502.42,Online,Card,Retention,completed
130,2024-01-25 14:00:00,17420,12,4,0.15,5932.88,5042.95,4769.84,273.11,Online,UPI,Retention,completed
131,2025-03-27 00:00:00,5236,308,5,0.05,9715.75,9229.96,5835.65,3394.31,Online,Bank Transfer,NewYear,completed
132,2025-06-09 16:00:00,4205,392,4,0.1,8159.24,7343.32,4216.96,3126.36,Marketplace,Card,Festive,returned
133,2025-02-15 18:00:00,337,78,4,0.1,4823.32,4340.99,3662.36,678.63,Online,UPI,Festive,completed
134,2024-02-27 03:00:00,6055,195,1,0.0,291.6,291.6,191.6,100.0,Online,UPI,BackToOffice,completed
135,2024-12-28 21:00:00,1992,214,5,0.05,7798.65,7408.72,6030.55,1378.17,Online,UPI,NewYear,completed
136,2025-04-12 14:00:00,1836,422,6,0.05,9102.06,8646.96,4992.54,3654.42,Partner,UPI,Organic,completed
137,2024-10-02 05:00:00,4136,176,2,0.0,3673.36,3673.36,2287.5,1385.86,Store,Bank Transfer,NewYear,completed
138,2025-03-17 21:00:00,16100,219,8,0.05,9263.84,8800.65,6169.84,2630.81,Store,Wallet,Retention,completed
139,2025-01-15 02:00:00,10217,200,3,0.1,4873.53,4386.18,2523.9,1862.28,Partner,Card,NewYear,completed
140,2024-09-23 16:00:00,2751,239,9,0.0,16340.22,16340.22,7653.24,8686.98,Marketplace,Bank Transfer,Retention,completed
141,2024-03-25 21:00:00,15490,358,7,0.15,13702.92,11647.48,9747.01,1900.47,Marketplace,UPI,Organic,completed
142,2025-03-07 19:00:00,3852,317,7,0.05,7374.01,7005.31,5347.79,1657.52,Online,Card,Retention,completed
143,2024-06-06 07:00:00,3203,181,5,0.05,7144.85,6787.61,3541.75,3245.86,Online,Card,NewYear,returned
144,2025-02-18 16:00:00,4701,240,4,0.1,3904.6,3514.14,2935.96,578.18,Marketplace,UPI,Retention,completed
145,2024-02-28 17:00:00,9283,344,4,0.1,933.28,0.0,449.28,0.0,Online,Card,NewYear,cancelled
146,2024-08-20 21:00:00,898,25,1,0.15,1727.85,1468.67,1223.54,245.13,Marketplace,Wallet,Retention,completed
147,2024-11-22 20:00:00,3498,325,5,0.05,9575.15,0.0,4977.8,0.0,Store,UPI,NewYear,cancelled
148,2024-02-17 15:00:00,15113,25,4,0.1,6911.4,6220.26,4894.16,1326.1,Online,Card,Festive,completed
149,2024-05-13 15:00:00,9732,236,8,0.0,1446.08,1446.08,1045.04,401.04,Store,Card,BackToOffice,completed
150,2024-06-30 05:00:00,18434,422,1,0.1,1517.01,1365.31,832.09,533.22,Partner,Bank Transfer,Festive,completed
151,2024-01-23 13:00:00,2253,300,3,0.0,4380.36,4380.36,3418.17,962.19,Online,Card,Festive,completed
152,2024-07-28 04:00:00,2462,302,3,0.0,4929.81,4929.81,2834.85,2094.96,Online,Card,Summer,completed
153,2024-10-23 07:00:00,4265,291,4,0.05,2468.6,2345.17,1294.84,1050.33,Online,Card,Organic,completed
154,2024-01-30 23:00:00,19473,405,1,0.0,150.16,150.16,105.47,44.69,Store,Card,NewYear,completed
155,2025-06-15 13:00:00,11783,296,3,0.15,4319.82,3671.85,2480.16,1191.69,Online,UPI,Organic,completed
156,2024-05-03 10:00:00,8947,32,1,0.0,1852.32,1852.32,975.09,877.23,Marketplace,Card,Organic,completed
157,2025-03-25 03:00:00,7625,51,5,0.1,6985.7,6287.13,3662.55,2624.58,Online,Wallet,NewYear,completed
158,2024-08-09 21:00:00,3209,100,5,0.1,7488.1,6739.29,4877.8,1861.49,Online,UPI,NewYear,completed
159,2024-10-20 16:00:00,7082,149,1,0.0,567.78,567.78,367.63,200.15,Online,UPI,Festive,completed
160,2024-08-21 12:00:00,16643,32,4,0.05,7409.28,7038.82,3900.36,3138.46,Marketplace,Bank Transfer,Retention,completed
161,2024-03-19 13:00:00,2908,114,4,0.05,294.44,279.72,220.96,58.76,Online,Card,Festive,completed
162,2024-06-06 18:00:00,15590,422,8,0.0,12136.08,12136.08,6656.72,5479.36,Online,Card,NewYear,completed
163,2025-03-17 08:00:00,5932,254,8,0.0,2819.68,2819.68,2006.64,813.04,Store,Bank Transfer,Festive,returned
164,2024-09-11 23:00:00,16999,82,8,0.0,5036.8,5036.8,3061.36,1975.44,Marketplace,Card,NewYear,returned
165,2024-02-19 21:00:00,12131,57,3,0.0,5786.13,5786.13,4230.9,1555.23,Online,Card,Retention,completed
166,2024-09-07 14:00:00,10693,119,3,0.15,6077.85,5166.17,3869.79,1296.38,Online,UPI,Summer,returned
167,2024-05-27 09:00:00,538,12,2,0.05,2966.44,2818.12,2384.92,433.2,Partner,Card,Retention,completed
168,2024-02-11 17:00:00,19424,342,7,0.15,15075.62,12814.28,9824.5,2989.78,Store,Bank Transfer,Festive,completed
169,2025-04-13 22:00:00,2482,287,6,0.1,5540.22,4986.2,3027.24,1958.96,Store,Card,Festive,completed
170,2024-02-15 21:00:00,12300,256,6,0.05,1621.14,1540.08,982.02,558.06,Online,Card,Organic,completed
171,2025-05-13 18:00:00,7787,219,7,0.05,8105.86,7700.57,5398.61,2301.96,Partner,Bank Transfer,Organic,completed
172,2024-12-11 16:00:00,9647,154,1,0.15,1932.42,0.0,1328.85,0.0,Marketplace,UPI,NewYear,cancelled
173,2025-04-27 10:00:00,14896,219,8,0.0,9263.84,9263.84,6169.84,3094.0,Online,UPI,NewYear,completed
174,2025-03-23 03:00:00,10342,264,8,0.05,12759.04,12121.09,7384.32,4736.77,Online,Card,Organic,completed
175,2024-01-03 12:00:00,14200,360,4,0.1,2601.28,2341.15,1442.8,898.35,Store,Card,BackToOffice,completed
176,2024-10-24 06:00:00,16264,305,6,0.1,3758.88,3382.99,2465.82,917.17,Online,UPI,NewYear,completed
177,2025-03-06 13:00:00,14816,358,8,0.1,15660.48,14094.43,11139.44,2954.99,Online,UPI,NewYear,completed
178,2024-01-08 11:00:00,13964,75,1,0.1,1231.94,1108.75,991.89,116.86,Store,UPI,Summer,completed
179,2025-05-23 00:00:00,13354,91,1,0.0,1969.79,1969.79,1485.82,483.97,Online,Card,Festive,completed
180,2025-03-30 09:00:00,3531,448,3,0.0,5046.99,5046.99,2361.75,2685.24,Marketplace,Card,Summer,completed
181,2024-03-21 05:00:00,10514,262,8,0.15,4607.68,3916.53,3062.08,854.45,Online,Card,Organic,completed
182,2025-06-08 09:00:00,8885,280,5,0.1,7655.45,6889.9,5620.3,1269.6,Online,Card,BackToOffice,completed
183,2024-07-09 05:00:00,5725,348,7,0.05,9011.24,8560.68,6440.91,2119.77,Store,UPI,Retention,completed
184,2024-06-10 06:00:00,8256,362,1,0.0,477.51,477.51,365.24,112.27,Online,Card,Retention,completed
185,2025-06-15 04:00:00,4158,358,9,0.15,17618.04,14975.33,12531.87,2443.46,Online,Card,Summer,completed
186,2024-07-05 21:00:00,10553,387,1,0.1,1782.32,1604.09,968.09,636.0,Online,Card,Retention,completed
187,2025-02-08 08:00:00,17141,73,1,0.1,1948.89,1754.0,1268.11,485.89,Online,Card,BackToOffice,completed
188,2024-02-13 12:00:00,4291,112,7,0.1,14662.76,13196.48,10449.95,2746.53,Online,Card,Summer,completed
189,2024-10-02 07:00:00,5499,225,4,0.1,7452.84,6707.56,4533.88,2173.68,Online,Wallet,BackToOffice,completed
190,2025-02-27 03:00:00,13298,141,1,0.05,238.9,226.96,139.74,87.22,Store,Card,Retention,completed
191,2024-01-12 15:00:00,5032,124,4,0.1,563.32,0.0,421.88,0.0,Store,UPI,Summer,cancelled
192,2024-08-27 11:00:00,2659,322,3,0.0,2770.62,2770.62,2228.67,541.95,Online,UPI,Organic,completed
193,2025-03-07 14:00:00,11593,60,9,0.05,11043.54,10491.36,5705.82,4785.54,Online,Card,Summer,completed
194,2024-02-08 23:00:00,16719,149,3,0.0,1703.34,1703.34,1102.89,600.45,Partner,Bank Transfer,Summer,completed
195,2025-05-28 14:00:00,19878,395,8,0.1,4547.12,4092.41,3445.68,646.73,Marketplace,Card,Festive,completed
196,2025-01-19 23:00:00,11231,292,8,0.0,7905.84,7905.84,5730.08,2175.76,Marketplace,Bank Transfer,Summer,completed
197,2024-09-25 15:00:00,18670,75,1,0.15,1231.94,1047.15,991.89,55.26,Online,Card,Summer,completed
198,2024-04-02 09:00:00,558,372,8,0.15,9071.12,7710.45,4671.84,3038.61,Marketplace,UPI,Festive,completed
199,2024-01-05 20:00:00,19050,286,7,0.1,9579.5,8621.55,7529.97,1091.58,Online,Bank Transfer,Summer,completed
200,2025-04-08 14:00:00,9066,229,7,0.1,5055.61,4550.05,3319.05,1231.0,Store,UPI,Summer,completed
201,2024-08-15 09:00:00,14870,281,4,0.1,7590.8,6831.72,3813.76,3017.96,Store,Bank Transfer,Retention,completed
202,2025-04-03 08:00:00,954,24,9,0.0,8081.28,8081.28,5194.62,2886.66,Store,Card,Retention,completed
203,2025-02-08 21:00:00,15078,260,5,0.1,4430.95,3987.86,3315.5,672.36,Online,Card,BackToOffice,completed
204,2024-12-17 12:00:00,1124,435,8,0.05,4356.16,4138.35,3010.24,1128.11,Store,Wallet,Summer,completed
205,2024-08-31 13:00:00,9397,54,3,0.1,673.02,605.72,311.04,294.68,Partner,UPI,BackToOffice,completed
206,2024-03-19 09:00:00,19575,385,8,0.1,5417.52,4875.77,4073.2,802.57,Marketplace,Card,NewYear,completed
207,2024-08-06 17:00:00,9864,262,6,,3455.76,3455.76,2296.56,1159.2,Online,Bank Transfer,Summer,completed
208,2025-06-23 07:00:00,15413,169,1,0.0,370.93,370.93,269.78,101.15,Store,Bank Transfer,NewYear,completed
209,2024-03-25 17:00:00,8113,294,4,0.0,5662.16,5662.16,4001.32,1660.84,Online,Card,Festive,completed
210,2024-02-09 14:00:00,2599,384,8,0.1,5413.84,4872.46,3322.96,1549.5,Online,Card,Summer,returned
211,2024-05-26 09:00:00,12861,122,7,0.0,6224.12,6224.12,3343.97,2880.15,Store,UPI,Retention,completed
212,2025-03-02 20:00:00,15151,151,7,0.15,6624.59,5630.9,4642.4,988.5,Partner,Card,Retention,completed
213,2024-09-04 07:00:00,13354,336,2,0.05,676.96,643.11,501.08,142.03,Marketplace,Card,Organic,completed
214,2024-11-14 11:00:00,4360,399,8,0.1,17050.64,15345.58,10776.72,4568.86,Store,Card,Summer,completed
215,2024-03-03 05:00:00,3091,3,7,0.05,7528.08,0.0,4949.84,0.0,Online,UPI,BackToOffice,cancelled
216,2024-01-28 19:00:00,9212,153,7,0.0,14257.18,14257.18,7815.15,6442.03,Online,Card,NewYear,completed
217,2024-04-03 12:00:00,19390,86,6,0.15,1868.34,1588.09,1144.26,443.83,Online,Card,Festive,completed
218,2024-03-19 03:00:00,14411,146,1,0.05,1537.36,1460.49,1114.35,346.14,Store,Card,Festive,completed
219,2024-06-01 08:00:00,5984,154,6,0.15,11594.52,9855.34,7973.1,1882.24,Store,Card,Organic,completed
220,2025-04-18 05:00:00,398,195,3,0.0,874.8,874.8,574.8,300.0,Online,Wallet,Festive,completed
221,2024-08-18 13:00:00,6313,357,7,0.0,13311.13,13311.13,7136.64,6174.49,Partner,Card,Festive,completed
222,2024-01-17 02:00:00,13078,25,7,0.05,12094.95,11490.2,8564.78,2925.42,Store,Card,BackToOffice,completed
223,2024-11-07 02:00:00,13564,380,5,0.0,1123.1,1123.1,888.45,234.65,Online,Card,NewYear,completed
224,2024-04-26 01:00:00,6750,197,4,0.05,6789.56,6450.08,4472.4,1977.68,Marketplace,UPI,Retention,completed
225,2025-04-21 10:00:00,235,246,9,0.15,4744.35,4032.7,3682.98,349.72,Store,UPI,Retention,completed
226,2024-08-26 12:00:00,18977,159,8,0.05,4229.44,0.0,2490.32,0.0,Store,Card,Retention,cancelled
227,2024-04-02 19:00:00,5624,232,3,0.05,6501.06,6176.01,5156.43,1019.58,Online,Card,NewYear,completed
228,2024-05-10 02:00:00,2995,366,2,0.15,3152.28,2679.44,2060.56,618.88,Online,Card,Retention,completed
229,2024-03-19 05:00:00,15935,374,2,0.0,2332.3,2332.3,1110.26,1222.04,Online,Card,NewYear,completed
