cohort_month,cohort_index,customers,cohort_size,retention_rate
2024-08,2,102,274,0.3723
2024-08,3,98,274,0.3577
2024-08,4,104,274,0.3796
2024-08,5,122,274,0.4453
2024-08,6,103,274,0.3759
2024-08,7,98,274,0.3577
2024-08,8,91,274,0.3321
2024-08,9,98,274,0.3577
2024-08,10,100,274,0.365
2024-09,0,182,182,1.0
2024-09,1,65,182,0.3571
2024-09,2,67,182,0.3681
2024-09,3,60,182,0.3297
2024-09,4,67,182,0.3681
2024-09,5,57,182,0.3132
2024-09,6,68,182,0.3736
2024-09,7,76,182,0.4176
2024-09,8,66,182,0.3626
2024-09,9,69,182,0.3791
2024-10,0,123,123,1.0
2024-10,1,42,123,0.3415
2024-10,2,50,123,0.4065
2024-10,3,41,123,0.3333
2024-10,4,45,123,0.3659
2024-10,5,46,123,0.374
2024-10,6,52,123,0.4228
2024-10,7,43,123,0.3496
2024-10,8,37,123,0.3008
2024-11,0,98,98,1.0
2024-11,1,23,98,0.2347
2024-11,2,37,98,0.3776
2024-11,3,29,98,0.2959
2024-11,4,36,98,0.3673
2024-11,5,29,98,0.2959
2024-11,6,38,98,0.3878
2024-11,7,38,98,0.3878
2024-12,0,42,42,1.0
2024-12,1,10,42,0.2381
2024-12,2,21,42,0.5
2024-12,3,17,42,0.4048
2024-12,4,13,42,0.3095
2024-12,5,13,42,0.3095
2024-12,6,12,42,0.2857
2025-01,0,33,33,1.0
2025-01,1,14,33,0.4242
2025-01,2,11,33,0.3333
2025-01,3,12,33,0.3636
2025-01,4,8,33,0.2424
2025-01,5,12,33,0.3636
2025-02,0,21,21,1.0
2025-02,1,4,21,0.1905
2025-02,2,7,21,0.3333
2025-02,3,5,21,0.2381
2025-02,4,11,21,0.5238
2025-03,0,13,13,1.0
2025-03,1,3,13,0.2308
2025-03,2,8,13,0.6154
2025-03,3,4,13,0.3077
2025-04,0,6,6,1.0
2025-04,1,4,6,0.6667
2025-04,2,1,6,0.1667
2025-05,0,5,5,1.0
2025-05,1,2,5,0.4
2025-06,0,2,2,1.0
