category,subcategory,product_id,net_sales,units,profit
Furniture,Tables,140,3159685.67,1912,1417590.37
Furniture,Desks,353,3146934.42,1965,1165864.38
Furniture,Bookcases,150,3132714.09,2047,842542.9400000001
Accessories,Bags,81,3116470.6,2299,1580043.16
Office Supplies,Storage,381,3105547.98,2083,963762.08
Office Supplies,Art,32,3099023.93,1880,1353612.83
Technology,Phones,133,3087241.71,2004,1222127.55
Office Supplies,Art,176,3067714.79,1867,1023833.54
Office Supplies,Paper,302,3048512.67,2059,1165227.32
Technology,Printers,368,3044108.68,1751,579495.64
Accessories,Headphones,277,3033386.66,1910,1328634.1099999999
Accessories,Bags,269,3020481.21,1957,987237.17
Office Supplies,Art,371,3009011.46,1995,1292935.92
Office Supplies,Binders,325,2988117.26,1722,1325532.06
Office Supplies,Art,88,2974949.88,1978,1127047.88
Technology,Phones,11,2969200.19,1886,692788.15
Furniture,Bookcases,163,2964290.88,1940,356667.29
Accessories,Headphones,36,2955283.49,1993,1449204.29
Office Supplies,Binders,171,2948967.88,2050,1008081.46
Furniture,Bookcases,264,2948933.13,2042,1121313.93
Office Supplies,Paper,319,2947919.34,1947,1391201.94
Furniture,Chairs,155,2937119.0,2080,638050.04
Accessories,Bags,142,2928313.2399999998,2151,1078946.82
Technology,Phones,369,2924710.02,2083,363682.1
Technology,Monitors,200,2915264.41,2021,1288190.21
Office Supplies,Binders,38,2909462.44,1836,872121.34
Technology,Phones,448,2899747.81,1923,1437037.31
Furniture,Chairs,90,2898085.83,1925,703836.23
Furniture,Bookcases,297,2890686.22,2018,827066.97
Technology,Phones,100,2877526.78,2124,862995.38
Accessories,Bags,139,2867809.29,2113,396696.09
Furniture,Bookcases,356,2857839.6,2073,1366306.7
Furniture,Bookcases,190,2849425.19,1947,1338212.85
Technology,Laptops,206,2836341.63,2000,416687.31
Technology,Monitors,447,2830848.84,2188,1424854.08
Technology,Laptops,293,2815547.61,1903,355530.97
Technology,Printers,422,2805103.48,2029,1151740.65
Furniture,Tables,316,2796076.26,2030,960392.02
Office Supplies,Binders,146,2795535.33,2013,605837.58
Accessories,Cables,115,2792121.55,2125,1117838.51
Technology,Phones,177,2792088.05,2212,801494.05
Office Supplies,Art,315,2789123.56,1755,532139.5599999999
Furniture,Bookcases,379,2764238.35,1869,933273.8200000001
Accessories,Bags,444,2739244.65,1945,1200535.94
Office Supplies,Storage,110,2738139.45,1868,1242209.5999999999
Technology,Phones,97,2715621.76,2006,1195893.16
Office Supplies,Paper,300,2710566.78,2083,438623.12
Office Supplies,Binders,214,2707223.13,1946,461446.31
Office Supplies,Paper,280,2699541.37,1982,564951.4299999999
Accessories,Cables,327,2691717.12,1868,981151.62
Office Supplies,Art,12,2690264.33,2007,362582.41
Technology,Laptops,349,2688481.92,2100,664306.04
Office Supplies,Storage,296,2673536.61,2071,1023403.49
Accessories,Cables,131,2664030.17,1847,856240.97
Office Supplies,Storage,181,2657812.8,2079,1249613.0
Technology,Laptops,366,2645866.25,1884,793422.81
Office Supplies,Art,331,2638124.36,1981,1003049.76
Technology,Monitors,50,2625685.92,2133,678841.92
Technology,Monitors,16,2623431.48,2181,366527.31
Office Supplies,Binders,102,2621529.47,2024,1175248.76
Technology,Laptops,186,2614131.22,2130,1240827.61
Office Supplies,Storage,187,2611697.43,1871,919930.23
Office Supplies,Paper,237,2607732.13,2100,1345775.29
Technology,Laptops,23,2597666.92,2017,1014801.97
Accessories,Headphones,424,2594247.68,1889,1023421.07
Furniture,Chairs,13,2573128.74,1922,404710.15
Technology,Monitors,334,2569785.15,2011,547883.31
Technology,Laptops,33,2568051.97,1981,1194756.76
Technology,Phones,208,2567983.94,2009,661338.5
Technology,Monitors,294,2567648.05,1992,631009.17
Technology,Monitors,194,2562746.38,2064,795384.7
Technology,Phones,212,2543335.38,1977,919831.12
Technology,Printers,354,2540107.4,2062,900054.08
Technology,Monitors,445,2534870.45,2103,1070635.74
Office Supplies,Storage,76,2534103.83,1876,564286.95
Furniture,Desks,323,2529946.45,2039,585903.25
Office Supplies,Art,378,2514086.6,1886,1220402.56
Office Supplies,Binders,404,2511735.83,1965,853149.83
Technology,Laptops,286,2502233.85,2093,380933.73
Technology,Printers,49,2497411.1,2025,511488.19999999995
Office Supplies,Art,70,2476569.4899999998,1926,458729.89
Furniture,Chairs,242,2473825.51,2094,1200601.08
Office Supplies,Binders,311,2471040.0,1951,492585.92
Technology,Monitors,228,2462092.45,2015,779159.85
Technology,Laptops,425,2452832.75,1960,1219340.27
Accessories,Bags,27,2450711.29,2088,389478.91
Technology,Printers,60,2435407.26,2229,1083761.9
Technology,Printers,51,2426413.03,1958,1058816.86
Office Supplies,Binders,224,2424315.59,1874,503841.98
Office Supplies,Storage,126,2420410.2399999998,1894,1111848.7
Technology,Printers,9,2400196.38,2115,638429.33
Accessories,Headphones,282,2390493.31,1879,956710.11
Furniture,Chairs,20,2383817.2,2113,900844.9
Technology,Printers,72,2369748.32,2021,534694.84
Accessories,Cables,402,2347648.13,2107,1078612.24
Accessories,Adapters,330,2337212.58,2002,593700.1799999999
Technology,Printers,352,2330653.52,1874,819384.62
Technology,Monitors,348,2320716.2399999998,2033,543025.08
Office Supplies,Storage,365,2304250.72,2023,418939.32
Office Supplies,Art,89,2294817.77,2054,561136.73
Furniture,Chairs,123,2268673.77,2079,1072735.25
Technology,Laptops,429,2268160.77,1873,1032519.57
Office Supplies,Art,340,2264957.36,2018,965924.31
Furniture,Tables,258,2263342.29,2020,944229.33
Technology,Phones,127,2242950.5,2109,663552.64
Technology,Printers,185,2241866.12,2083,991103.22
Office Supplies,Storage,219,2226216.4899999998,2107,637482.69
Office Supplies,Binders,210,2224754.58,2034,720069.28
Technology,Monitors,409,2224502.98,1886,1003231.12
Technology,Monitors,441,2222539.88,2078,958876.7
Office Supplies,Storage,372,2210405.32,2181,987551.2
Technology,Printers,263,2206918.56,2257,724192.48
Technology,Monitors,440,2197494.63,1871,1120278.42
Office Supplies,Storage,418,2197119.22,1995,616543.2999999999
Office Supplies,Storage,265,2195109.22,2026,954938.77
Technology,Monitors,374,2177668.7600000002,2070,1069629.28
Office Supplies,Binders,52,2159576.9,1878,563546.4500000001
Technology,Phones,78,2158616.6999999997,1965,405261.85
Furniture,Chairs,203,2152870.38,1867,563367.66
Office Supplies,Storage,351,2133237.29,1985,541512.54
Furniture,Desks,113,2130295.68,1970,927624.24
Furniture,Tables,40,2124187.63,1775,874194.4
Furniture,Desks,412,2088229.44,2082,554942.49
Technology,Printers,193,2081301.1400000001,1689,861560.6599999999
Furniture,Tables,419,2078814.15,2150,680545.11
Furniture,Chairs,3,2064737.22,2154,615848.34
Technology,Monitors,85,2039476.44,2113,849826.74
Technology,Monitors,216,2024918.21,2183,469578.97
Accessories,Cables,346,2012117.16,2046,797353.64
Office Supplies,Binders,310,1997431.86,1820,800003.12
Technology,Monitors,19,1991663.5,1896,652912.5599999999
Accessories,Adapters,317,1989244.68,2140,446789.25
Accessories,Cables,434,1983965.23,2045,904863.88
Office Supplies,Binders,15,1975197.65,1823,348131.65
Furniture,Bookcases,145,1966987.47,1978,441008.01
Accessories,Adapters,75,1961063.71,1780,256004.8
Technology,Phones,437,1947454.26,1831,633205.11
Technology,Printers,389,1940723.11,2025,629446.87
Office Supplies,Paper,2,1932123.3800000001,1932,589558.74
Technology,Phones,35,1919753.01,2064,722684.86
Office Supplies,Binders,69,1913967.19,2096,281112.26
Office Supplies,Storage,411,1911020.64,1961,380269.9
Technology,Monitors,105,1904827.11,1807,857657.49
Technology,Laptops,138,1896368.73,1879,698337.79
Office Supplies,Binders,313,1895127.43,2051,920007.43
Accessories,Headphones,170,1888691.78,2017,802454.26
Office Supplies,Art,7,1883312.87,2229,364037.73
Technology,Monitors,222,1882240.05,2169,471153.75
Furniture,Desks,168,1847058.47,1960,471910.89
Office Supplies,Binders,248,1844792.33,2160,602442.08
Office Supplies,Storage,134,1823846.69,2052,274880.84
Technology,Monitors,37,1820514.07,1980,395457.07
Office Supplies,Binders,201,1815352.52,1923,554412.88
Technology,Phones,65,1813710.6,2252,918321.78
Technology,Printers,433,1787764.54,2022,634882.48
Furniture,Tables,240,1780985.54,2047,353374.99
Accessories,Bags,59,1774998.67,2181,836009.41
Technology,Printers,414,1762990.51,2132,401185.31
Office Supplies,Binders,345,1751033.59,1849,746870.39
Technology,Laptops,98,1749461.33,1915,884596.35
Office Supplies,Paper,426,1726050.43,1827,705781.34
Office Supplies,Binders,61,1716045.04,2132,284242.04
Office Supplies,Storage,132,1703357.94,1647,599337.6900000001
Accessories,Headphones,279,1698922.94,1980,346906.12
Technology,Phones,10,1689314.91,2006,277482.65
Office Supplies,Paper,328,1686746.79,1920,609976.81
Technology,Monitors,136,1671191.09,2099,833971.65
Technology,Monitors,446,1656414.11,2113,590379.91
Office Supplies,Paper,322,1655445.34,2000,226124.98
Furniture,Chairs,24,1653385.01,2033,514031.69
Technology,Monitors,423,1645924.5,1849,532229.58
Technology,Laptops,329,1642381.35,1753,503163.45
Office Supplies,Storage,122,1612047.1199999999,2006,689589.11
Office Supplies,Paper,335,1599598.47,2127,205596.47
Accessories,Cables,21,1584982.12,1981,382869.76
Office Supplies,Binders,287,1582887.02,1891,655542.5
Office Supplies,Paper,74,1581314.76,1938,502968.72
Technology,Printers,370,1580193.04,2305,717230.54
Furniture,Chairs,273,1573941.72,1899,379750.68
Furniture,Bookcases,301,1567605.12,2021,615628.6
Technology,Monitors,151,1559617.65,1858,386416.85
Furniture,Desks,382,1537570.01,1984,434122.6
Technology,Phones,303,1532726.58,1750,187772.82
Office Supplies,Paper,373,1508204.72,1854,316794.42
Office Supplies,Storage,306,1499376.92,1962,690284.02
Technology,Laptops,41,1499071.72,1948,279372.12
Technology,Monitors,292,1497613.23,1706,329393.17
Furniture,Chairs,439,1493324.2,2053,547650.12
Office Supplies,Paper,4,1488318.81,2099,452338.81
Technology,Laptops,231,1488178.28,2047,539584.21
Office Supplies,Art,260,1479804.14,1860,285561.04
Office Supplies,Art,443,1476057.65,1827,686312.69
Accessories,Headphones,96,1474723.59,1996,627781.1
Office Supplies,Paper,17,1472075.34,1979,584334.0599999999
Office Supplies,Binders,120,1463055.52,2118,739862.24
Technology,Laptops,245,1459395.16,2061,476286.01
Furniture,Chairs,376,1451026.74,1968,381070.78
Technology,Phones,118,1425473.69,1950,416974.75
Furniture,Tables,430,1391037.73,2276,591227.73
Furniture,Chairs,270,1382024.81,2089,526574.43
Accessories,Adapters,230,1379846.66,2006,540332.1
Technology,Laptops,220,1374368.83,2118,332866.33
Furniture,Tables,432,1365271.7,2156,225573.8
Technology,Phones,284,1359834.74,1840,482106.59
Office Supplies,Art,95,1353556.48,2091,698915.36
Furniture,Bookcases,147,1349413.78,2256,463758.42
Furniture,Desks,99,1340257.78,1588,207552.88
Technology,Printers,111,1337995.66,2063,200566.69
Office Supplies,Paper,172,1326829.11,2072,429783.09
Technology,Phones,253,1326452.39,2074,461587.11
Technology,Phones,298,1322037.11,1815,493670.63
Office Supplies,Paper,406,1307478.97,2002,425891.77
Technology,Phones,341,1291808.92,2008,171277.69
Furniture,Desks,48,1280341.02,2135,396226.62
Furniture,Tables,229,1269030.51,1979,374783.61
Technology,Phones,251,1268533.55,1919,450613.07
Office Supplies,Binders,143,1265840.12,2059,523260.27999999997
Furniture,Chairs,267,1258804.2,1999,341708.83
Technology,Laptops,276,1258600.46,1923,637328.54
Technology,Laptops,388,1240340.43,2138,319485.03
Technology,Monitors,209,1210948.35,2128,424734.37
Technology,Monitors,180,1209197.67,1877,547063.89
Accessories,Adapters,385,1204077.44,1988,226509.44
Accessories,Headphones,250,1195843.25,1731,515299.88
Office Supplies,Binders,266,1184274.83,2172,264635.15
Technology,Phones,47,1183899.81,2076,342334.44
Furniture,Desks,82,1178988.96,2100,411352.94
Office Supplies,Binders,67,1161656.66,1855,450696.98
Office Supplies,Paper,304,1157792.05,2059,332903.65
Technology,Phones,188,1138018.31,1861,545423.39
Office Supplies,Binders,22,1127436.36,1780,348514.44
Office Supplies,Art,305,1115729.55,1980,334064.61
Technology,Phones,148,1115517.56,2074,293109.88
Office Supplies,Paper,184,1111626.11,1757,403436.83
Technology,Phones,79,1106457.98,2078,212510.18
Office Supplies,Art,360,1102715.07,1884,446241.07
Technology,Phones,227,1096388.61,2061,226723.56
Office Supplies,Storage,377,1094065.18,1965,251969.38
Office Supplies,Paper,395,1091621.22,2133,202205.07
Furniture,Desks,272,1088535.01,2068,195471.46
Office Supplies,Binders,274,1084060.4,2085,273677.8
Accessories,Headphones,285,1076701.97,2057,222943.25
Technology,Printers,420,1070012.16,1758,213469.16
Technology,Printers,384,1065748.1,1785,367095.76
Office Supplies,Paper,249,1056286.23,1896,299460.42
Furniture,Tables,215,1053128.17,1838,137255.79
Office Supplies,Storage,125,1039222.4,1910,243136.2
Technology,Phones,137,1029320.85,1774,414139.43
Technology,Phones,149,1026432.53,2033,308451.14
Technology,Phones,116,1016570.84,2039,310017.02
Technology,Printers,343,1013915.82,2059,236117.02
Technology,Monitors,189,999595.69,2099,145040.71
Furniture,Chairs,416,997907.88,2082,261629.76
Technology,Monitors,183,995830.6900000001,1925,433568.27999999997
Office Supplies,Art,435,995328.0599999999,2043,256314.14
Accessories,Bags,117,990950.09,2084,249940.49
Technology,Monitors,247,980782.0,2000,457346.7
Office Supplies,Binders,262,979362.4400000001,1885,282356.48
Furniture,Tables,333,959611.53,1838,214842.09
Accessories,Cables,166,948962.36,2105,413503.37
Technology,Monitors,108,947196.53,2088,356265.35
Technology,Monitors,413,946106.61,2070,256042.44
Office Supplies,Paper,291,944054.11,1747,411551.16
Furniture,Chairs,400,943208.64,2129,311151.34
Office Supplies,Paper,68,935946.93,1900,450581.97000000003
Furniture,Chairs,104,927143.42,1928,137012.54
Office Supplies,Binders,396,905778.92,1868,314004.71
Office Supplies,Paper,415,894709.48,2002,438509.73
Technology,Laptops,338,892560.4299999999,1934,338373.94
Office Supplies,Paper,159,887785.84,1840,325596.1
Technology,Laptops,362,883130.92,2073,158494.76
Furniture,Bookcases,246,851953.42,1838,143593.6
Furniture,Chairs,5,847947.52,1998,403234.93
Technology,Laptops,243,816857.85,2013,353823.53
Accessories,Adapters,101,803686.2,2087,388911.84
Office Supplies,Binders,390,790995.75,1835,223712.6
Technology,Printers,18,787490.88,1941,242832.48
Office Supplies,Art,109,773758.37,1937,343785.33
Furniture,Chairs,309,738327.97,1872,194051.89
Technology,Printers,135,727309.41,1897,361976.38
Office Supplies,Storage,202,712472.71,2022,328110.42
Office Supplies,Binders,80,708158.86,2142,170272.87
Technology,Printers,252,706842.34,1866,101644.22
Furniture,Chairs,257,696830.49,2107,220758.61
Office Supplies,Art,234,685716.3,1898,272859.94
Accessories,Adapters,169,685089.03,2094,149575.73
Technology,Monitors,26,682140.76,1955,300589.52999999997
Office Supplies,Paper,394,677949.89,1798,167790.94999999998
Furniture,Tables,191,675631.09,1891,131026.47
Technology,Phones,307,664690.83,1875,296368.15
Office Supplies,Storage,103,659909.92,2067,200176.24
Furniture,Tables,254,649002.22,2027,154114.63
Accessories,Bags,312,642801.95,2038,324039.71
Office Supplies,Binders,217,642720.0,2172,324306.54
Technology,Printers,326,632303.74,1990,304592.38
Accessories,Bags,336,615204.31,2006,128154.55
Office Supplies,Storage,14,608071.38,2063,73368.42
Technology,Printers,175,600605.83,2127,170553.43
Technology,Laptops,407,595872.69,2181,142696.33
Office Supplies,Art,160,571606.39,1860,168658.39
Office Supplies,Paper,431,568990.99,1946,240765.26
Furniture,Chairs,156,564665.19,1967,87691.99
Office Supplies,Art,86,561638.32,2012,192423.76
Technology,Monitors,255,556230.41,2000,260323.37
Furniture,Tables,195,537141.78,2079,159689.78
Technology,Phones,28,516313.72,2302,136451.47
Furniture,Tables,55,498925.35,2125,230640.63
Accessories,Headphones,359,495908.55,1846,75511.59
Office Supplies,Binders,256,466888.07,1939,163607.56
Office Supplies,Binders,84,465554.16,2045,189426.57
Office Supplies,Storage,31,463171.2,1991,173188.26
Accessories,Bags,77,436051.5,1939,119702.4
Furniture,Chairs,350,421964.12,1938,73362.92
Furniture,Desks,179,415642.51,1871,105342.77
Accessories,Headphones,141,414682.45,1920,155325.01
Accessories,Adapters,380,413300.8,2065,63429.19
Technology,Printers,54,407322.93,2013,205457.97
Technology,Monitors,207,405980.09,1941,130138.09
Office Supplies,Art,121,405185.0,2123,174836.42
Office Supplies,Storage,233,402810.45,1974,197484.45
Furniture,Bookcases,364,396007.87,2001,99622.65000000001
Office Supplies,Storage,344,390694.32,1898,188518.32
Furniture,Chairs,6,384066.62,1848,185455.82
Office Supplies,Art,152,373582.54,1862,168878.74
Furniture,Bookcases,363,358656.27999999997,1993,54575.0
Furniture,Bookcases,337,356396.17,2021,54609.37
Office Supplies,Art,8,344304.05,2045,48009.97
Office Supplies,Binders,71,339215.21,2111,157184.46
Furniture,Tables,129,334449.8,1899,52589.15
Furniture,Chairs,164,333046.38,1952,149730.13
Office Supplies,Binders,355,327921.85,2036,148461.63
Furniture,Bookcases,236,325630.07,2003,72991.65
Technology,Printers,42,306725.06,1925,140384.24
Office Supplies,Binders,278,290413.1,1997,70652.46
Office Supplies,Paper,405,276391.98,2077,67877.79
Technology,Printers,361,274962.01,2014,112673.66
Furniture,Chairs,124,263852.24,2105,52173.95
Furniture,Chairs,83,258168.53,2107,55091.63
Technology,Monitors,386,244072.64,2144,100970.48
Furniture,Tables,107,241500.2,2206,33809.12
Office Supplies,Paper,321,237841.87,1895,99348.79000000001
Accessories,Adapters,226,234903.61,2017,97225.09
Technology,Monitors,436,232012.26,2017,80147.38
Furniture,Bookcases,320,218472.7,2044,36950.35
Office Supplies,Binders,417,202063.59,2120,31372.49
Office Supplies,Art,421,201684.33,2159,95104.08
Office Supplies,Art,198,181343.76,1998,77366.25
Technology,Phones,66,180589.81,1974,60187.0
Technology,Printers,167,159560.63,2166,24843.89
Accessories,Bags,438,157341.89,1990,80424.14
Technology,Printers,162,156325.09,2035,43885.84
Accessories,Headphones,114,138869.21,2085,27560.61
Office Supplies,Art,290,125073.15,1919,52425.35
Technology,Printers,241,108486.45,2025,13117.47
Technology,Printers,391,103943.19,2058,31450.350000000002
Office Supplies,Binders,244,92072.08,1929,18840.46
Office Supplies,Binders,398,80420.21,2121,17167.579999999998
Technology,Printers,238,78937.44,1917,29597.68
Technology,Laptops,261,72424.74,1907,27856.74
Furniture,Chairs,182,71353.27,1895,13490.210000000001
Office Supplies,Storage,92,63265.09,1817,14387.59
Accessories,Adapters,39,37083.37,1760,15880.12
